SampleID	Zymo	Platform	Extraction	SuperNatant	Length	Limit	Overlaps	ContigID	Taxon	ContigSize
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg127	Escherichia coli	11782
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg128	Salmonella enterica	12040
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg129	Saccharomyces cerevisiae	12988
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg130	Saccharomyces cerevisiae	11671
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg131	Saccharomyces cerevisiae	11979
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg132	Pseudomonas aeruginosa	11461
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg133	Saccharomyces cerevisiae	11160
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg134	Saccharomyces cerevisiae	11278
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg135	Saccharomyces cerevisiae	11383
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg136	Saccharomyces cerevisiae	10775
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg137	Saccharomyces cerevisiae	11191
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg138	Saccharomyces cerevisiae	11109
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg139	Cryptococcus neoformans	11602
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg140	Staphylococcus aureus	10782
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg141	Escherichia coli	10969
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg142	Saccharomyces cerevisiae	11681
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg143	Saccharomyces cerevisiae	10492
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg144	Saccharomyces cerevisiae	10159
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg145	Saccharomyces cerevisiae	10315
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg146	Lactobacillus fermentum	10629
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg147	Saccharomyces cerevisiae	10674
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg148	Saccharomyces cerevisiae	10164
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg149	Saccharomyces cerevisiae	10608
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg150	Saccharomyces cerevisiae	10734
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg151	Saccharomyces cerevisiae	10278
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg152	Saccharomyces cerevisiae	10287
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg153	Cryptococcus neoformans	10784
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg154	Enterococcus faecalis	10447
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg155	Saccharomyces cerevisiae	11438
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg156	Saccharomyces cerevisiae	9066
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg157	Saccharomyces cerevisiae	10715
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg158	Saccharomyces cerevisiae	9327
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg159	Saccharomyces cerevisiae	10525
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg160	Saccharomyces cerevisiae	10386
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg161	Cryptococcus neoformans	10251
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg162	Escherichia coli	10713
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg163	Saccharomyces cerevisiae	9890
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg164	Saccharomyces cerevisiae	9323
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg165	Saccharomyces cerevisiae	8955
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg166	Saccharomyces cerevisiae	9492
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg167	Saccharomyces cerevisiae	9539
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg168	Cryptococcus neoformans	9535
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg169	Salmonella enterica	9532
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg170	Saccharomyces cerevisiae	9563
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg171	Saccharomyces cerevisiae	9327
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg172	Saccharomyces cerevisiae	8577
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg173	Saccharomyces cerevisiae	9222
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg174	Saccharomyces cerevisiae	8926
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg175	Saccharomyces cerevisiae	9268
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg176	Saccharomyces cerevisiae	9435
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg177	Listeria monocytogenes	8949
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg178	Saccharomyces cerevisiae	9215
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg179	Saccharomyces cerevisiae	7938
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg180	Saccharomyces cerevisiae	9367
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg181	Saccharomyces cerevisiae	7838
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg182	Saccharomyces cerevisiae	8197
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg183	Saccharomyces cerevisiae	8450
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg184	Saccharomyces cerevisiae	9139
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg185	Saccharomyces cerevisiae	8631
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg186	Saccharomyces cerevisiae	9025
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg187	Saccharomyces cerevisiae	8955
